year,B33 6.4983E,Bruce Plateau,DIV2010,DML07,FB97DML05,FB9807,FB9809,FB9814,Ferrigno,Fimbulisen s100,Gomez,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,ITASE-02-1,ITASE-02-4,ITASE-02-7,Jurassic,Law Dome (2015),Mount Johns,NUS07-1,NUS07-2,NUS07-7,NUS08-4,NUS08-5,NUS08-7,Palmer,RIDS-A,Rendezvous,SDM-94,SP01,SP04C5,SPOLE 0EW,THW2010,UP-C,WD05A 112.125W,WDC05A
1917,1113.0153,1100600.0,12606.4728,3545.350922,1647.554732,1004.7,1294.75008,274.2768,19170.0,207471.4,56574.6972,9531.15824,12892.11722,7666.52172,8915.37813,8409.5492,12723.44736,4324.43705,5041.51214,15224.40576,2875.34979,1115.0244,499.6845,94544.35233,50314.248,4124.236589,1496.924,460.598,1020.222,1385.687,809.486,965.79,20661.6266,7062.249089,95467.43128,14028.04848,893.9298192,752.0794476,666.23523945,6411.391,5885.838305,5780.70627,2941.9146
1918,228.8598,227100.0,7415.391,2993.151264,1029.307986,636.276,1941.1608,1050.487,33360.0,204969.0,24423.80179,4951.4304,9942.49254,6298.64913,3365.0804,7645.38876,9301.1379,7400.2308,4253.71521,10053.22338,7058.17948,2770.9264,1451.49672,31205.40244,56754.8,2926.690787,1346.852,486.778,663.525,1875.234,645.983,413.28,8078.169773,3561.308213,76883.00171,15097.04069,964.6146404,359.0403072,764.2646671,3611.8804,7678.507547,3665.695659,4729.9
1919,223.0774,231200.0,15466.3348,1762.276281,1055.210502,646.952,956.571,2197.7452,34620.0,202466.6,27325.27577,4405.4752,9696.19615,4343.1948,2691.676,7456.85774,12565.70415,4187.04786,7203.37904,10267.92396,7561.56162,419.08902,704.0475,27197.1354,32148.48,5255.076713,563.42,545.394,610.524,761.904,823.953,723.73,23266.75724,4592.99304,57098.16137,17714.6973,695.541313,442.3070179,787.42686,3864.646,28217.31174,7787.075832,3128.8068
1920,193.887,87200.0,11582.627,1010.700755,361.425968,370.532,3749.01296,1598.9259,36940.0,79321.8,19712.78161,7679.54,9286.1182,6434.79935,6694.92775,7414.00464,8727.1275,4961.30432,2700.18801,8178.46106,5032.70901,559.74437,701.6886,38076.39603,56725.82,3734.150783,715.104,531.216,755.379,541.014,249.935,792.33,11424.36639,8351.398008,59016.77793,24849.24917,725.8466148,652.3825696,660.0620678,4541.0526,8989.489884,4440.005045,3972.3306
1921,729.1708,392000.0,18972.8955,421.0214646,845.515821,518.84,1472.3358,1467.29149,55890.0,118375.2,25495.96162,4619.6928,10170.22868,8471.13115,8116.20625,3012.95808,7622.9424,4746.85299,5370.95952,26300.09818,5183.07738,1340.928,510.20802,45109.06026,42646.6,3933.351873,553.28,696.048,627.534,99.493,292.3,777.14,18576.30311,10218.42585,59754.63656,30714.28689,831.5576685,897.7714621,863.13360225,13127.2218,13012.40788,5572.762464,9657.8776
1922,1274.058,622800.0,6854.9444,1274.55564,842.910995,1250.86,639.31536,1636.66285,40790.0,45897.8,24858.22916,6524.1496,7355.94797,5446.563,6718.02,13753.98528,11033.87505,4691.00312,6068.61198,8169.67917,3468.44802,1140.5016,996.89431,48038.33643,67568.664,4982.296778,711.1,734.196,293.895,256.891,619.121,639.8,19521.70001,3468.526871,46758.25209,28597.6998,457.3804449,425.4900448,975.6236891,5972.3976,16927.90653,4556.758717,4655.343
1923,397.9064,345000.0,9571.38,1270.525823,802.2511628,629.068,728.15002,461.65125,20040.0,175375.2,22924.2842,7507.73925,8706.19638,8160.0455,3247.74375,6223.9459,7068.65874,4225.80748,8118.8767,14818.5109,11377.18766,1082.19662,522.19356,42819.59977,72708.75,4517.231484,1177.28,708.22,407.862,585.71,635.993,537.25,12410.08843,4944.294123,39011.60805,4023.404244,1327.473042,1024.280558,674.93902655,4091.2498,23161.41521,4263.660752,7059.6944
1924,256.1638,309800.0,10039.733,677.3220556,1372.498572,585.072,2627.13295,583.92486,31980.0,100009.5,29115.83165,4636.632,10631.07444,7096.76819,1811.9375,4826.569,6126.0594,5492.877,3831.34108,10574.93238,7636.20936,2562.07068,1663.56429,43604.1266,50610.028,3309.507084,706.576,896.206,446.769,1127.575,923.15,762.93,9416.08566,2176.633828,37460.48327,7902.187403,289.3702488,362.7279818,835.594709,5078.944,32210.80278,2134.049102,3919.7277
1925,724.0779,175200.0,11655.4244,1181.384542,698.7152147,903.856,1337.34912,825.285,25330.0,43187.7,35154.60036,5319.86067,10888.6986,9057.99202,4828.8448,6602.3909,8647.35542,3931.42,6898.2192,11470.24677,7957.83912,662.0796,1766.45,23552.52723,48252.712,2550.825431,816.764,985.15,311.175,681.503,1128.278,2813.86,12719.66112,4284.784162,41890.49475,8151.16028,1285.347798,610.7461874,562.7409235499999,4792.6318,12663.71623,4489.889282,3878.6976
1926,376.9029,175300.0,13867.4052,884.5627868,909.6793631,792.948,1568.05924,610.82758,37440.0,168439.0,23372.66415,2766.687,7470.80754,6405.0584,5451.09725,9143.74526,10617.881,4609.03496,6833.6337,10244.15988,3916.76406,629.909,524.91831,38230.85192,54418.598,1535.073153,1458.496,844.594,535.518,238.872,873.94,1396.57,6553.639517,5537.414375,48876.07775,9327.421299,976.6437514,1024.704166,588.09054325,7437.3795,18288.82875,3787.047256,4426.235
