year,DateTime
888,2019-05-09
889,2019-05-10
890,2019-05-11
891,2019-05-12
892,2019-05-13
893,2019-05-14
894,2019-05-15
895,2019-05-16
896,2019-05-17
897,2019-05-18
898,2019-05-19
899,2019-05-20
900,2019-05-21
901,2019-05-22
902,2019-05-23
903,2019-05-24
904,2019-05-25
905,2019-05-26
906,2019-05-27
907,2019-05-28
908,2019-05-29
909,2019-05-30
910,2019-05-31
911,2019-06-01
912,2019-06-02
913,2019-06-03
914,2019-06-04
915,2019-06-05
916,2019-06-06
917,2019-06-07
918,2019-06-08
919,2019-06-09
920,2019-06-10
921,2019-06-11
922,2019-06-12
923,2019-06-13
924,2019-06-14
925,2019-06-15
926,2019-06-16
927,2019-06-17
928,2019-06-18
929,2019-06-19
930,2019-06-20
931,2019-06-21
932,2019-06-22
933,2019-06-23
934,2019-06-24
935,2019-06-25
936,2019-06-26
937,2019-06-27
938,2019-06-28
939,2019-06-29
940,2019-06-30
941,2019-07-01
942,2019-07-02
943,2019-07-03
944,2019-07-04
945,2019-07-05
946,2019-07-06
947,2019-07-07
948,2019-07-08
949,2019-07-09
950,2019-07-10
951,2019-07-11
952,2019-07-12
953,2019-07-13
954,2019-07-14
955,2019-07-15
956,2019-07-16
957,2019-07-17
958,2019-07-18
959,2019-07-19
960,2019-07-20
961,2019-07-21
962,2019-07-22
963,2019-07-23
964,2019-07-24
965,2019-07-25
966,2019-07-26
967,2019-07-27
968,2019-07-28
969,2019-07-29
970,2019-07-30
971,2019-07-31
972,2019-08-01
973,2019-08-02
974,2019-08-03
975,2019-08-04
976,2019-08-05
977,2019-08-06
978,2019-08-07
979,2019-08-08
980,2019-08-09
981,2019-08-10
982,2019-08-11
983,2019-08-12
984,2019-08-13
985,2019-08-14
986,2019-08-15
987,2019-08-16
988,2019-08-17
989,2019-08-18
990,2019-08-19
991,2019-08-20
992,2019-08-21
993,2019-08-22
994,2019-08-23
995,2019-08-24
996,2019-08-25
997,2019-08-26
998,2019-08-27
999,2019-08-28
1000,2019-08-29
1001,2019-08-30
1002,2019-08-31
1003,2019-09-01
1004,2019-09-02
1005,2019-09-03
1006,2019-09-04
1007,2019-09-05
1008,2019-09-06
1009,2019-09-07
1010,2019-09-08
1011,2019-09-09
1012,2019-09-10
1013,2019-09-11
1014,2019-09-12
1015,2019-09-13
1016,2019-09-14
1017,2019-09-15
1018,2019-09-16
1019,2019-09-17
1020,2019-09-18
1021,2019-09-19
1022,2019-09-20
1023,2019-09-21
1024,2019-09-22
1025,2019-09-23
1026,2019-09-24
1027,2019-09-25
1028,2019-09-26
1029,2019-09-27
1030,2019-09-28
1031,2019-09-29
1032,2019-09-30
1033,2019-10-01
1034,2019-10-02
1035,2019-10-03
1036,2019-10-04
1037,2019-10-05
1038,2019-10-06
1039,2019-10-07
1040,2019-10-08
1041,2019-10-09
1042,2019-10-10
1043,2019-10-11
1044,2019-10-12
1045,2019-10-13
1046,2019-10-14
1047,2019-10-15
1048,2019-10-16
1049,2019-10-17
1050,2019-10-18
1051,2019-10-19
1052,2019-10-20
1053,2019-10-21
1054,2019-10-22
1055,2019-10-23
1056,2019-10-24
1057,2019-10-25
1058,2019-10-26
1059,2019-10-27
1060,2019-10-28
1061,2019-10-29
1062,2019-10-30
1063,2019-10-31
1064,2019-11-01
1065,2019-11-02
1066,2019-11-03
1067,2019-11-04
1068,2019-11-05
1069,2019-11-06
1070,2019-11-07
1071,2019-11-08
1072,2019-11-09
1073,2019-11-10
1074,2019-11-11
1075,2019-11-12
1076,2019-11-13
1077,2019-11-14
1078,2019-11-15
1079,2019-11-16
1080,2019-11-17
1081,2019-11-18
1082,2019-11-19
1083,2019-11-20
1084,2019-11-21
1085,2019-11-22
1086,2019-11-23
