year,200 km,B31 3.43W,B32 0.00667E,B33 6.4983E,BerknerR25 45.716W,Bryan coast,D66 136.9352E,DIV2010,Derwael Ice Rise,Dyer Plateau,FB9802,FB9804,FB9805,FB9807,FB9808,FB9809,FB9810,FB9811,FB9812,FB9813,FB9814,FB9815,FB9816,FB9817,Ferrigno,Fimbulisen s100,GV2 145.2631 E,GV5 158.5369 E,GV7 158.8624E,Gomez,H72 41.08333E,Hercules Neve 165.4 E,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,ITASE-02-4,ITASE-99-1,"JRI (Aristarain et al., 2004)",LGB65 77.07472E,Law Dome (2015),RICE,RIDS-A,SPOLE 0EW,THW2010,Talos Dome 159.07575E,UP-C,WAIS 2014,WD05A 112.125W,WD05Q 112.086W,vrs-13 (vostok stack)
1948,292.557024457388,53.1,68.4,48.0,96.9,448.507556452494,184.21428,354.3,386.16623051734,388.999999999999,78.1,35.6,40.8,72.4,63.0,139.9,47.4,61.9,28.3,40.0,56.1,40.6,49.5,37.2,444.312239721952,166.0,114.21669,106.892498847487,189.899179477792,787.301345747597,379.758806694211,95.9582000000003,171.139029,359.305558145652,212.107158,141.980905,341.303089288509,406.739477,300.817039,311.764963135002,266.935636,79.6970630215629,125.923822733371,604.512,126.0,884.0,205.133688380625,171.856000000001,101.6718207,218.7,148.5,82.7608694999982,226.65842279439,173.0,212.0,4.099021882
1949,303.36995862681,44.1,59.0,44.5,130.4,405.541386930649,208.2808,337.5,392.948858438292,398.0,115.6,35.5,42.4,32.8,51.6,133.1,112.3,43.2,53.6,49.0,96.7,34.1,30.2,50.7,320.19280426924,404.0,141.41114,94.7324196370209,217.47459282918,556.690270874364,339.973733349393,95.3835999999995,277.813146,285.716066302174,235.906409,125.584234,366.50853013855,416.55744,301.98407,286.745930302498,319.097778,97.4863747054057,126.244917222399,597.925,150.0,682.0,127.272301837075,226.514000000001,86.8972684999998,225.2,69.7500000000002,162.586956599972,189.129570407531,173.0,153.0,4.267308416
1950,258.420831908257,48.4,52.9,40.1,163.7,412.406786571759,221.45936,309.0,470.460761948024,277.999999999999,118.0,50.7,54.4,51.6,32.8,145.4,59.8,58.6,33.2,33.5,65.4,34.1,49.4,71.4,412.958125420387,363.0,88.6092581,153.651363557607,458.16290563932,739.127661307678,272.65600202278,96.425,209.156989,423.841658465217,199.049584,93.946986,323.071558204804,305.780117,352.390907,267.929564607501,269.476245,138.587681998648,143.509302504301,638.904,95.0,698.0,197.900121985052,280.9836,81.8421182000008,274.0,117.6,95.7241304999998,278.504408392233,263.0,196.0,25.6045300965
1951,281.683922835319,67.8,63.9,42.1,154.5,451.995507374936,212.7496,531.1,382.532538733428,624.000000000002,100.4,26.4,47.7,68.1,65.5,139.2,91.9,58.0,30.5,58.3,62.7,42.7,34.1,80.9,392.15379683994,394.0,130.3077325,171.874555471067,301.418745101914,1045.05848522074,317.098629592146,74.9823999999997,246.074315,418.980427704348,180.540883,173.115755,310.692110770202,463.839512,344.856869,340.92730052,486.523142,96.5886486364868,125.049137840418,603.185,150.0,537.0,288.385926710924,243.821099999999,72.0333164999993,227.5,63.7,116.234999999999,210.613934957586,243.0,237.0,20.321223399
1952,359.495212682234,71.5,76.8,34.6,126.3,409.372465367827,347.59253,278.5,647.76912476451,398.999999999997,54.3,37.2,49.6,60.8,91.0,71.8,84.3,57.4,59.2,67.5,83.1,58.0,75.9,65.0,237.291314950291,325.0,114.6708046,125.519039411225,272.431833806857,852.698706026747,333.391755533761,175.154200000001,238.060481,373.953119860869,238.702992,235.933192,344.510244607851,351.353455,292.807472,414.113873240556,305.026509,82.5204489108104,106.95344377895,601.904,117.0,790.0,119.490604053833,279.2296,67.0735226000003,257.7,73.5000000000048,78.9750000000002,248.481884114049,243.0,243.0,8.148437526625
1953,326.636158042891,65.1,68.1,39.5,143.5,440.486313275465,153.26246,498.8,457.488161855777,383.000000000003,190.4,28.4,39.1,51.2,107.1,141.0,47.0,56.8,41.0,22.6,111.1,80.1,72.8,60.5,371.264502519629,285.0,134.3903465,116.51318904988,207.592150907503,833.723440310245,373.611515608666,144.977599999999,266.683278,384.175501147826,247.089838,134.325699,380.256971387281,474.146516,420.907995,337.366393125,351.044238,72.8686741350033,119.834053570653,547.102,133.0,681.0,231.828414328373,229.393599999999,62.1419240000003,347.7,63.7000000000006,78.7500000000002,191.110190292319,205.0,218.0,12.2975151615
1954,270.214801352221,68.8,58.4,65.5,210.5,398.202321952937,319.00075,244.2,666.305211140092,414.999999999999,121.4,30.4,51.2,131.1,67.4,86.7,123.2,63.3,41.0,57.8,56.1,67.6,50.3,78.6,340.174304188925,251.0,135.411,162.26170672199,172.717299934225,564.537193553122,241.535526862962,144.4,177.786458,392.977870817392,147.700041,117.18442,251.315995035515,287.949823,213.259577,243.112929672222,195.784167,84.3572757176466,184.840570620238,659.859,123.0,669.0,168.467250055903,162.3078,100.0938118,203.7,96.0999999999996,78.5250000000002,158.904295334346,156.0,194.0,26.005357989
1955,280.661044119094,68.1,62.7,76.5,141.5,332.080536589104,188.7963,342.2,655.427475724648,570.999999999998,87.2,49.9,32.7,95.2,67.3,97.0,88.3,42.1,41.0,28.0,68.1,52.1,51.0,73.4,474.097208666798,198.0,108.3288,157.458703286959,207.865126151176,847.37361624459,213.439515057693,146.2,173.714307,295.52788882174,144.287393,94.49169,233.452895260989,305.790368,304.963488,305.347018189714,408.449435,105.076389318628,168.996731694901,512.342,167.0,827.0,131.656158410844,251.713000000001,99.7278747,234.1,107.099999999995,62.6579999999996,213.500286798161,189.0,123.0,34.8154436295
1956,231.240818654271,56.1,76.0,67.9,134.5,451.974907692324,196.20962,469.6,528.498905139911,295.000000000002,157.0,32.4,65.5,42.5,85.9,112.3,146.2,65.5,41.0,57.4,116.7,51.8,84.3,38.8,288.490809038752,328.0,113.74524,116.936242882227,235.867066787319,1137.95037960952,199.234218963,170.0518,260.97195,430.390735280435,189.72123,147.558949,374.001452160952,361.011094,298.152351,379.483830694287,308.29796,94.4231113205876,184.380179575894,611.098,84.0,875.0,186.958718126152,209.085999999999,75.7292846000001,318.9,110.7,109.288750200011,243.060434105414,215.0,203.0,16.8234820125
1957,259.72652211608,49.9,69.9,50.3,137.1,602.400762434253,216.57597,313.4,673.040137505607,423.999999999999,131.1,38.9,47.1,62.3,48.8,49.7,133.7,84.5,41.0,53.4,60.7,51.5,49.6,95.3,401.63838502048,519.0,108.36861,152.774478762319,272.540396161889,554.369425173117,273.968159792931,65.3085,200.143941,389.88329775652,177.337912,176.410273,248.328744745553,490.546605,348.600353,281.109622432432,260.740574,115.735266932353,115.081541592067,580.817,195.0,687.0,249.070072496577,273.798600000001,84.9326943999999,247.2,63.6000000000001,108.500000699998,193.774649589278,189.0,193.0,7.9958260125
1958,246.397899314965,82.6,46.7,41.5,135.9,503.33109992363,210.83509,325.9,715.821642320718,438.000000000001,141.8,36.6,47.2,99.2,83.6,91.7,145.5,89.1,41.0,53.1,54.2,51.2,21.3,47.5,350.009748488984,348.0,144.49148,119.355456519611,112.436820235634,745.30642580972,347.925418606659,131.1849,238.475108,409.439793450001,222.702795,234.135258,327.169125325379,407.05685,264.116109,297.996548648649,354.619879,73.8428658401958,199.464258358833,443.95,153.0,773.0,233.143086479895,278.4532,56.4618796000001,219.9,43.1999999999999,76.9375004999984,175.993986352592,232.0,221.0,2.597562714375
1959,485.207824490931,90.2,41.4,41.8,138.9,556.39414489381,208.69632,415.0,520.458812353252,436.0,141.8,34.4,67.8,65.8,75.9,98.6,49.3,47.9,41.0,53.1,76.3,50.9,54.3,54.2,391.019644527599,467.0,129.01025,125.039049687211,195.063050987012,773.690264076948,339.748447468096,87.4223999999999,253.864702,392.409687808697,226.592149,144.715743,350.963424998221,364.199799,349.172911,290.925609896312,259.741121,97.602836788235,226.55728090623,607.664,93.0,633.0,212.451458928402,242.1562,75.0790176000001,275.2,101.1,122.125000799997,280.068336554695,169.0,182.0,32.04334232
1960,288.749233276147,44.6,52.9,59.8,156.0,624.271622679516,188.67974,469.2,525.911154975346,551.0,102.8,49.4,67.9,54.6,63.7,70.8,127.5,60.2,41.0,53.1,47.4,50.6,36.8,76.8,411.407199625992,187.0,118.89535,125.039049687211,240.776059368419,820.548516384711,196.591588471886,89.5859999999997,268.076098,632.670770173913,143.816991,144.253243,408.280914571178,503.957384,395.717623,401.32961378267,421.262292,132.176861733333,123.933536339284,529.995,99.0,661.0,267.084766230576,189.5614,116.7650691,254.3,61.25,90.8062505999963,148.627628240286,202.0,245.0,7.141645179375
1961,367.409982250169,37.0,67.6,52.2,140.1,393.017992698569,218.21202,352.0,439.777993032723,305.999999999999,74.4,32.0,53.6,50.1,85.4,108.8,79.5,60.1,41.0,53.1,64.0,50.3,44.1,74.9,472.860369130131,219.0,108.70125,96.1504607398848,201.083323000437,601.54296563193,418.148436938222,112.266,140.758355,385.686804397826,219.28971,114.397457,326.086986646646,334.449696,307.729231,277.741161621621,285.873059,120.790314146667,151.457093279277,483.169,104.0,985.0,244.778459258356,225.9016,93.0343860000001,279.1,29.4,119.6715912,198.429596433344,193.0,156.0,14.49669546
1962,255.603054870522,49.7,56.2,44.7,124.4,438.294732134257,223.7283,334.6,590.190076297387,563.000000000001,133.6,38.1,49.7,69.5,77.9,102.8,92.3,59.9,41.0,53.1,48.9,50.0,53.5,82.0,482.876712328766,155.0,129.40625,152.858869935715,175.947907625382,1163.23963634213,315.721156999022,112.5537,192.875609,322.92297373913,185.965754,143.445048,292.490445474287,422.278184,325.72144,423.678300974611,345.79239,161.891578586667,199.833446704217,769.855,95.0,600.0,149.507859849671,237.987,120.3509558,250.3,73.5000000000002,84.8688013500004,220.336170295955,177.0,180.0,15.418015611625
1963,225.499192630844,63.1,53.5,49.9,129.6,475.136709636647,240.36656,402.7,594.887506060968,409.000000000001,140.7,39.9,56.8,99.6,39.9,120.7,130.0,59.7,51.0,53.1,85.1,49.7,53.8,57.0,379.95954566672,254.0,125.67415,153.954632444213,392.568556737579,905.214481900054,314.435057659435,92.0003000000002,222.351598,461.759952674999,197.740125,173.316884,252.911690476337,384.104198,393.343278,328.734935757576,285.213265,78.8557015577791,205.402975285871,664.338,85.0,525.0,217.355566564817,242.806,82.9152054999999,255.0,171.5,84.9123962999956,225.863037524671,213.0,171.0,18.7785464315
