year,vrs-13 (vostok stack),B31 3.43W ,B32 0.00667E,B33 6.4983E,FB96DML01,FB97DML04,FB97DML06,FB97DML07,FB97DML09,FB97DML10,FB9804,FB9805,FB9807,FB9808,FB9809,FB9810,FB9811,FB9812,FB9813,FB9814,FB9815,FB9816,FB9817,SPOLE 0EW , D66 136.9352E,LGB65 77.07472E,GV2 145.2631 E,ITASE-02-7,ITASE-02-4,Law Dome (2015),200 km,BerknerR25 45.716W,Gomez,"JRI (Aristarain et al., 2004)",Dyer Plateau,Ferrigno,Bryan coast,DIV2010,THW2010, WD05A 112.125W,WD05Q 112.086W ,WAIS 2014,SDM-94,UP-C,RIDS-A,RIDS-C,ITASE-99-1,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,Hercules Neve 165.4 E, Talos Dome 159.07575E, GV7 158.8624E,GV5 158.5369 E,RICE,Fimbulisen s100,Ekstroem B04,FB9802,Derwael Ice Rise,H72 41.08333E
1987,26.57,66.9,67.7,40.6,41.1,52.2,48.5,58.7,44.2,47.225,64.3,46.9,86.3,81.5,90.3,107.9,81.6,30.2,51.9,55.1,56.6,37.3,50.4,105.77,170.4,166.0,126.79,63.31,77.18,707.0,395.95,155.3,733.79,472.0,502.0,396.32,552.25,390.0,217.7,181.0,217.0,240.46,82.51,110.32,184.83,58.1,122.83,200.32,318.13,142.76,104.5,293.95,528.94,345.82,327.21,328.14,134.16,140.25,250.7,147.78,199.05,286.0,264.0,147.2,631.55,274.0
1988,20.7,63.6,99.4,37.9,41.4,52.2,48.5,58.7,44.2,46.95,51.3,49.4,48.4,103.8,150.3,103.4,58.3,41.0,51.3,96.4,57.9,57.2,76.6,162.85,165.16,191.0,117.4,56.75,162.34,703.0,433.8,112.1,855.79,518.0,517.0,467.17,520.21,451.7,339.8,198.0,233.0,188.34,111.88,65.81,210.57,111.3,202.4,184.0,421.82,252.36,98.72,408.0,405.16,323.23,380.22,353.09,74.67,70.0,212.07,108.38,216.44,300.0,264.0,139.7,931.93,172.03
1989,29.88,85.3,93.2,54.6,41.0,52.4,49.1,58.7,44.2,46.675,57.3,37.5,63.2,47.0,103.3,118.4,64.4,41.0,51.3,86.6,51.0,68.8,110.0,44.37,248.88,186.0,131.06,62.18,120.39,861.0,433.8,139.8,1273.56,877.0,852.0,456.73,663.79,391.3,241.4,181.0,166.0,164.9,93.56,163.28,206.57,45.6,179.89,195.42,234.51,157.02,102.23,341.27,472.69,393.56,417.46,369.61,92.16,94.5,189.74,66.06,235.92,188.0,264.0,66.1,675.87,306.24
1990,13.74,70.4,63.1,60.4,41.2,51.7,47.9,58.7,44.2,46.4,62.4,40.3,94.5,99.7,60.1,75.5,56.7,34.7,51.0,28.6,51.4,37.4,29.5,132.56,211.69,116.0,137.7,63.98,117.73,754.0,433.8,158.2,789.01,1068.0,852.0,344.93,411.79,253.9,267.6,182.0,177.0,234.09,72.59,182.89,232.2,94.4,178.12,260.69,282.64,205.93,82.11,263.78,481.37,273.96,283.89,395.77,172.21,130.2,220.02,101.01,129.11,262.0,264.0,71.1,538.02,280.19
1991,21.36,70.4,60.233333333333334,60.4,41.1,52.2,48.5,58.7,44.2,46.9,51.8,29.6,45.3,47.7,96.9,127.8,46.4,53.7,42.3,40.8,51.8,42.2,61.9,92.0,179.98,116.0,113.45,38.77,141.83,878.0,433.8,156.3,788.61,349.0,852.0,365.08,306.45,356.2,272.7,184.0,195.0,262.88,123.46,85.27,230.68,82.2,167.8,315.11,340.97,154.28,136.34,325.0,381.99,361.89,282.17,361.67,99.89,117.6,302.07,146.05,134.65,304.0,264.0,91.4,500.7,412.56
1992,13.96,70.4,57.36666666666667,60.4,41.1,52.2,48.5,58.7,44.2,46.9,41.9,36.5,61.0,90.1,101.2,72.6,92.0,34.5,33.1,106.8,57.9,53.9,68.1,92.0,246.49,136.0,140.33,50.42,95.87,780.0,433.8,134.1,965.61,606.0,852.0,466.2,474.76,593.4,315.9,191.0,276.0,275.7,158.75,126.95,304.11,129.1,172.96,271.63,435.49,246.39,130.45,430.65,607.43,430.33,430.07,382.38,81.73,94.8,390.08,105.82,280.11,347.0,264.0,100.5,868.65,366.04
1993,11.23,70.4,54.5,60.4,41.7,52.2,48.5,58.7,44.2,46.9,47.9,76.5,74.4,124.2,106.4,89.8,52.8,35.1,63.6,48.0,67.3,44.1,76.8,92.0,227.99,141.0,131.41,50.2,122.42,729.0,433.8,134.1,993.36,668.0,852.0,344.4,432.29,409.5,351.6,357.0,222.0,218.22,123.97,90.43,240.78,148.6,177.4,298.85,280.94,235.87,118.09,426.84,555.3,425.38,304.42,260.02,81.73,94.0,293.13,107.72,290.45,197.0,264.0,148.2,570.75,270.24
1994,15.53,70.4,52.2,60.4,41.7,52.2,48.5,58.7,44.2,46.9,48.6,93.2,85.6,131.7,121.7,122.4,34.1,46.8,50.0,42.9,51.0,46.9,89.0,92.0,167.83,164.0,104.19,66.08,119.14,562.0,433.8,134.1,815.46,399.0,852.0,283.51,341.44,399.3,286.2,250.0,234.0,150.95,115.28,95.16,229.19,89.3,118.48,220.83,275.67,157.75,92.07,413.52,532.04,312.34,365.13,393.51,81.73,70.0,222.19,143.75,200.04,205.0,264.0,97.2,495.43,412.03
1995,6.59,70.4,47.1,60.4,41.7,52.2,48.5,58.7,44.2,46.9,59.7,54.2,111.5,86.6,78.4,76.3,47.9,41.0,41.5,115.5,63.2,68.4,48.8,92.0,236.19,119.0,150.36,65.09,175.15,663.0,433.8,134.1,833.17,349.0,852.0,435.13,522.25,401.4,259.5,134.0,171.0,180.85,115.28,121.72,208.07,151.6,139.33,274.48,219.94,103.37,89.54,342.97,333.0,315.28,326.36,343.91,81.73,155.4,252.0,78.63,219.45,153.0,264.0,204.5,421.9,267.83
1996,19.58,70.4,72.4,60.4,41.7,52.2,48.5,58.7,44.2,46.9,47.2,70.9,90.1,82.8,87.0,119.7,59.3,41.0,53.8,69.5,34.8,44.1,62.9,92.0,228.65,144.0,115.99,87.89,199.93,878.0,433.8,134.1,935.38,500.0,852.0,445.01,521.5,368.2,369.8,166.0,178.0,191.64,115.28,79.7,208.07,151.6,121.25,155.77,165.24,190.66,100.63,256.86,470.83,301.12,301.57,410.54,81.73,37.8,231.57,250.03,162.7,231.0,264.0,106.7,801.2,341.19
