year,vrs-13 (vostok stack),B31 3.43W ,B32 0.00667E,B33 6.4983E,FB96DML01,FB97DML04,FB97DML06,FB97DML07,FB97DML09,FB97DML10,FB9804,FB9805,FB9807,FB9808,FB9809,FB9810,FB9811,FB9812,FB9813,FB9814,FB9815,FB9816,FB9817,SPOLE 0EW , D66 136.9352E,LGB65 77.07472E,GV2 145.2631 E,ITASE-02-7,ITASE-02-4,Law Dome (2015),200 km,BerknerR25 45.716W,Gomez,"JRI (Aristarain et al., 2004)",Dyer Plateau,Ferrigno,Bryan coast,DIV2010,THW2010, WD05A 112.125W,WD05Q 112.086W ,WAIS 2014,SDM-94,UP-C,RIDS-A,RIDS-C,ITASE-99-1,ITASE-00-1,ITASE-00-3,ITASE-00-4,ITASE-00-5,ITASE-01-1,ITASE-01-2,ITASE-01-3,ITASE-01-4,ITASE-01-5,Hercules Neve 165.4 E, Talos Dome 159.07575E, GV7 158.8624E,GV5 158.5369 E,RICE,Fimbulisen s100,Ekstroem B04,FB9802,Derwael Ice Rise,H72 41.08333E
1917,4.98,50.2,48.7,38.1,34.7,56.8,47.5,86.7,59.4,66.2,21.2,30.4,78.7,119.6,57.6,62.3,57.0,41.0,59.2,43.2,59.5,45.0,70.2,61.57,226.04,149.0,120.11,54.74,132.3,552.0,248.65,132.2,759.33,526.34,344.0,283.81,281.79,402.3,270.5,146.0,176.0,257.89,127.21,111.09,242.51,131.56,131.88,264.78,429.65,171.57,225.13,373.62,353.64,161.47,280.56,652.79,157.0,47.7,226.36,74.93,173.31,439.0,546.0,94.2,491.1,412.91
1918,24.14,41.0,40.9,18.3,60.6,39.9,38.8,75.5,43.4,34.7,67.9,25.7,30.4,65.0,120.3,138.0,61.9,34.7,58.2,78.5,28.5,59.2,86.0,81.98,193.74,238.0,84.95,123.05,125.17,775.0,212.75,138.9,516.17,445.78,328.0,255.79,326.72,267.0,298.7,280.0,226.0,205.96,113.96,145.53,275.27,119.51,102.42,224.02,540.34,213.9,140.19,321.83,367.26,324.58,336.12,302.09,105.14,87.15,171.35,137.37,273.75,400.0,435.0,129.1,547.62,276.1
1919,35.43,35.2,47.7,22.1,21.0,37.8,57.0,38.7,39.3,48.5,55.7,34.9,85.9,98.7,57.4,129.4,61.5,47.2,58.2,75.8,83.2,40.3,46.9,92.08,191.74,95.0,118.94,75.04,84.27,672.0,366.37,137.9,613.31,571.9,472.0,359.23,507.13,496.4,300.4,196.0,243.0,330.68,119.58,201.89,234.46,53.73,101.98,257.56,443.54,188.04,139.86,333.42,347.7,324.64,348.41,377.78,131.52,51.3,243.31,185.8,218.81,362.0,434.0,142.0,422.47,411.26
1920,9.87,38.5,82.3,38.7,24.0,48.1,39.9,83.5,30.5,34.5,34.6,25.5,65.4,41.4,123.2,72.5,61.3,43.7,58.1,70.5,54.7,52.3,88.4,97.03,224.08,138.0,118.94,101.97,84.14,635.0,392.72,146.8,707.18,459.34,410.0,386.29,541.79,371.5,306.6,218.0,243.0,193.78,149.07,155.26,314.02,83.51,101.37,260.54,489.76,209.94,167.35,347.24,471.05,366.68,252.94,315.74,78.66,94.05,168.21,123.88,179.59,219.0,469.0,100.7,339.12,421.51
1921,18.74,57.2,96.8,62.8,67.0,90.2,46.8,68.2,58.7,61.9,27.7,46.3,42.5,64.3,84.9,135.9,61.2,59.6,57.8,55.3,38.1,57.2,72.7,86.66,181.09,96.0,92.35,40.63,119.97,635.0,321.47,145.3,612.8,653.82,339.0,417.42,369.26,448.5,288.2,251.0,207.0,168.06,147.1,108.19,345.76,119.16,124.68,173.13,468.36,160.1,166.71,288.15,448.95,337.92,273.56,607.32,102.4,153.9,260.46,160.98,234.08,328.0,235.0,150.3,725.07,334.27
1922,25.94,53.7,65.9,66.6,34.6,48.9,50.1,46.7,46.8,51.3,30.1,57.6,89.5,46.1,87.3,132.1,61.0,44.3,75.4,55.1,54.5,69.7,90.3,91.61,238.13,108.0,119.06,60.74,119.68,654.0,202.46,149.5,543.61,520.93,393.0,281.68,413.39,285.1,256.8,165.0,174.0,276.64,195.36,108.57,218.45,89.27,165.23,224.48,403.87,122.98,207.46,441.61,478.48,338.34,311.71,355.08,255.65,88.35,200.84,102.41,170.21,254.0,216.0,192.9,377.78,385.94
1923,19.4,42.1,64.3,49.1,47.8,48.9,42.0,65.6,65.3,47.8,27.8,36.7,64.1,111.8,73.4,174.2,60.8,29.6,81.4,37.5,47.1,58.6,43.4,86.37,150.55,96.0,119.06,53.79,131.76,843.0,271.02,105.2,689.68,568.95,340.0,302.45,528.82,350.6,276.1,176.0,158.0,167.89,60.87,172.25,251.01,190.08,130.06,179.33,401.12,215.04,132.93,323.53,305.84,320.21,351.48,405.51,155.11,102.6,318.72,138.19,177.82,511.0,269.0,182.1,606.62,299.2
1924,13.96,80.0,61.2,56.9,57.0,34.9,47.3,69.6,44.2,47.8,57.9,20.6,73.7,72.7,170.3,66.0,45.8,29.8,40.2,52.1,60.7,27.2,81.0,71.02,188.19,126.0,119.06,99.75,132.6,623.0,359.59,114.8,698.77,530.73,372.0,427.42,527.21,436.7,336.8,189.0,191.0,154.54,68.31,240.37,132.0,106.5,163.11,184.82,445.38,169.33,132.5,302.46,453.5,380.96,462.74,528.91,180.55,51.3,217.86,152.07,285.85,183.0,306.0,216.4,416.41,388.0
1925,9.58,77.7,65.3,42.1,44.3,56.4,61.9,69.9,65.9,51.2,41.8,29.6,71.2,69.4,99.6,161.0,74.7,38.8,70.0,44.4,55.6,42.3,80.1,60.79,188.06,96.0,118.65,125.02,60.15,764.0,289.43,107.0,650.46,391.08,495.0,364.74,294.13,328.1,222.2,144.0,141.0,197.31,108.81,156.84,243.98,106.16,126.48,253.74,386.75,225.45,165.15,370.85,489.4,372.98,367.15,391.95,150.83,82.65,231.66,112.39,184.06,401.0,323.0,164.2,415.4,387.04
1926,18.01,55.0,71.8,36.3,48.9,68.5,42.6,80.7,77.1,51.1,34.8,47.7,58.9,97.9,91.3,95.0,94.4,41.0,64.8,31.9,43.7,34.8,93.0,80.94,250.66,120.0,94.16,39.27,84.1,901.0,178.92,134.1,776.42,409.34,419.0,302.12,506.9,497.2,332.1,230.0,257.0,216.82,79.3,199.23,236.9,105.79,199.17,202.99,480.23,299.0,131.9,361.43,483.36,327.66,349.5,346.79,125.2,85.5,237.4,185.09,252.91,358.0,197.0,154.4,504.29,278.61
