year,FB9813,FB9802,Siple Station,FB96DML01,FB97DML04,FB97DML06,FB97DML09,FB97DML10,Hercules Neve 165.4 E,Fimbulisen s100,Ekstroem B04,Plateau Remote,Bruce Plateau,ITASE-01-2,ITASE-01-5,Law Dome (2015),ITASE-00-1,WD05A 112.125W,ITASE-02-4
1967,-45.8,-31.95,-29.477,-44.68,-47.49,-46.74,-51.09,-50.27,-30.96,-21.38,-23.36,-54.1581,-20.7847,-30.937,-31.128,-22.15865,-33.19885,-33.98964474,-41.70223069
1968,-46.44,-33.74,-30.459,-44.86,-47.7,-46.54,-50.33,-49.75,-33.9,-21.24,-22.08,-53.9473,-20.5196,-29.08,-33.053,-22.6797,-33.78105,-35.68765476,-42.2610745
1969,-45.28,-32.98,-30.063,-45.095,-48.89,-49.63,-50.47,-49.7,-33.79,-21.47,-17.78,-54.3878,-21.6947,-28.562,-32.989,-23.0687,-33.99415,-35.20973158,-44.03782209
1970,-43.66,-29.73,-29.305,-45.33,-48.88,-49.2,-49.87,-50.27,-34.39,-23.9,-17.3,-54.831,-18.6252,-30.881,-31.917,-22.51625,-33.10025,-34.47086429,-42.70468411
1971,-43.38,-33.78,-29.383,-45.01,-49.66,-46.96,-52.17,-48.11,-34.19,-22.91,-20.36,-55.0557,-19.8709,-31.613,-30.764,-22.17405,-32.09715,-33.2725,-44.01573445
1972,-43.95,-29.03,-29.435,-44.38,-51.45,-45.09,-47.98,-46.77,-34.73,-20.07,-18.94,-54.872,-20.1891,-30.042,-31.926,-22.25145,-32.9472,-34.26735238,-43.1213145
1973,-46.19,-35.14,-28.837,-43.5,-45.82,-47.54,-49.71,-49.74,-33.22,-22.63,-19.26,-56.3558,-21.0046,-29.124,-29.646,-23.0353,-33.0512,-35.17428158,-41.48332045
1974,-45.55,-33.99,-29.964,-43.24,-47.93,-46.23,-50.32,-47.69,-32.43,-25.01,-18.75,-56.9912,-18.5559,-31.264,-30.113,-21.45275,-32.865,-34.49519286,-44.33250356
1975,-43.52,-32.6,-28.786,-43.05,-48.73,-46.38,-51.3,-45.96,-32.94,-22.92,-19.15,-56.725,-20.2578,-30.53,-30.501,-20.6416,-33.64775,-34.41157895,-44.5734188
1976,-43.52,-28.13,-30.273,-43.59,-47.29,-45.53,-47.41,-47.59,-37.15,-24.5,-22.86,-54.8459,-21.2858,-29.908,-31.891,-22.81415,-32.361,-33.62792143,-44.04858807
1977,-41.02,-26.84,-30.657,-43.7,-46.42,-47.31,-48.22,-48.89,-34.33,-24.83,-17.11,-57.1222,-20.0779,-28.868,-32.396,-21.1963,-34.313,-35.1627921,-44.88816437
