year,FB9813,FB9802,Siple Station,FB96DML01,FB97DML04,FB97DML06,FB97DML08,FB97DML09,FB97DML10,Hercules Neve 165.4 E,Fimbulisen s100,Ekstroem B04,Plateau Remote,Bruce Plateau,ITASE-01-2,ITASE-01-5,Ritscherflya Dronning Maud Land(100年)_δ18O_Ritscherflya Core E Dronning Maud Land d18O,Law Dome (2015),ITASE-00-1,WD05A 112.125W,ITASE-02-4,EPICA Dronning Maud Land
1138,,,,,,,,,,,,,-51.1588,,,,,-21.1594,,-33.50716429,,
1137,,,,,,,,,,,,,-49.6541,,,,,-22.1947,,-33.34320263,,
1136,,,,,,,,,,,,,-47.8698,,,,,-23.2557,,-34.45269524,,
1135,,,,,,,,,,,,,-47.7374,,,,,-22.7782,,-36.62297895,,
1134,,,,,,,,,,,,,-49.0894,,,,,-22.3234,,-35.53102619,,
1133,,,,,,,,,,,,,-50.827,,,,,-21.8172,,-34.40192632,,
1132,,,,,,,,,,,,,-52.9915,,,,,-22.5099,,-34.07063334,,
1131,,,,,,,,,,,,,-54.2791,,,,,-21.3185,,-32.76403684,,
1130,,,,,,,,,,,,,-54.3352,,,,,-21.9645,,-32.89161905,,
1129,,,,,,,,,,,,,-54.1951,,,,,-22.4353,,-33.46668421,,
1128,,,,,,,,,,,,,-53.886,,,,,-20.6762,,-34.04372857,,
1127,,,,,,,,,,,,,-54.1187,,,,,-23.0945,,-34.29283684,,
1126,,,,,,,,,,,,,-54.1326,,,,,-22.5189,,-33.95671667,,
1125,,,,,,,,,,,,,-53.9744,,,,,-22.2962,,-33.07758421,,
1124,,,,,,,,,,,,,-53.1827,,,,,-21.3858,,-33.95303334,,
1123,,,,,,,,,,,,,-52.0752,,,,,-22.2188,,-33.26519211,,
1122,,,,,,,,,,,,,-51.3538,,,,,-22.5312,,-32.51427381,,
1121,,,,,,,,,,,,,-50.6618,,,,,-24.5127,,-33.90652106,,
1120,,,,,,,,,,,,,-50.9742,,,,,-22.7184,,-35.12815,,
1119,,,,,,,,,,,,,-51.8864,,,,,-22.3113,,-34.40316053,,
1118,,,,,,,,,,,,,-52.7775,,,,,-21.6653,,-32.57160953,,
1117,,,,,,,,,,,,,-53.9247,,,,,-22.1595,,-33.21454211,,
1116,,,,,,,,,,,,,-55.0361,,,,,-21.9404,,-33.62910476,,
1115,,,,,,,,,,,,,-55.7256,,,,,-22.8088,,-33.98713421,,
1114,,,,,,,,,,,,,-56.1749,,,,,-21.3113,,-33.71054762,,
1113,,,,,,,,,,,,,-56.4271,,,,,-22.1911,,-32.79994211,,
1112,,,,,,,,,,,,,-56.5489,,,,,-23.0788,,-33.55910715,,
1111,,,,,,,,,,,,,-56.551,,,,,-21.436,,-33.74870527,,
1110,,,,,,,,,,,,,-55.9181,,,,,-22.6494,,-33.12831429,,
1109,,,,,,,,,,,,,-54.8459,,,,,-22.5471,,-32.70633948,,
1108,,,,,,,,,,,,,-53.7002,,,,,-23.3393,,-32.72309286,,
1107,,,,,,,,,,,,,-53.0061,,,,,-22.1365,,-33.51088158,,
1106,,,,,,,,,,,,,-53.324,,,,,-22.2185,,-33.25209524,,
1105,,,,,,,,,,,,,-53.899,,,,,-21.4576,,-33.83055527,,
1104,,,,,,,,,,,,,-54.4046,,,,,-22.2924,,-34.50287143,,
1103,,,,,,,,,,,,,-54.806,,,,,-24.711,,-32.22602369,,
1102,,,,,,,,,,,,,-54.8483,,,,,-22.932,,-33.61011429,,
1101,,,,,,,,,,,,,-54.3269,,,,,-22.1613,,-33.02004474,,
1100,,,,,,,,,,,,,-53.9265,,,,,-22.1915,,-33.67244762,,
1099,,,,,,,,,,,,,-53.9027,,,,,-22.9685,,-33.96360527,,
1098,,,,,,,,,,,,,-54.6306,,,,,-21.3938,,-32.73791429,,
1097,,,,,,,,,,,,,-54.6651,,,,,-22.491,,-33.53529737,,
1096,,,,,,,,,,,,,-54.1516,,,,,-21.4258,,-34.24340476,,
1095,,,,,,,,,,,,,-54.0075,,,,,-22.208,,-35.51577895,,
1094,,,,,,,,,,,,,-54.5751,,,,,-21.0111,,-35.04748572,,
1093,,,,,,,,,,,,,-55.652,,,,,-20.8215,,-34.07869474,,
1092,,,,,,,,,,,,,-56.6736,,,,,-21.7609,,-35.19645238,,
1091,,,,,,,,,,,,,-57.2355,,,,,-22.0319,,-34.76351053,,
1090,,,,,,,,,,,,,-57.468,,,,,-22.0972,,-34.30667381,,
1089,,,,,,,,,,,,,-57.4211,,,,,-21.4587,,-32.26768948,,
1088,,,,,,,,,,,,,-57.235,,,,,-22.3781,,-32.7931,,
1087,,,,,,,,,,,,,-56.7481,,,,,-22.422,,-34.10195263,,
1086,,,,,,,,,,,,,-56.697,,,,,-21.7035,,-33.70252381,,
1085,,,,,,,,,,,,,-57.287,,,,,-21.2287,,-33.4747579,,
1084,,,,,,,,,,,,,-57.6827,,,,,-21.4866,,-33.55033572,,
1083,,,,,,,,,,,,,-57.845,,,,,-20.9161,,-33.68500263,,
1082,,,,,,,,,,,,,-57.1421,,,,,-21.7941,,-33.13344286,,
1081,,,,,,,,,,,,,-57.0113,,,,,-23.3389,,-33.19456842,,
1080,,,,,,,,,,,,,-56.962,,,,,-22.6241,,-33.18171905,,
1079,,,,,,,,,,,,,-56.6248,,,,,-22.5014,,-34.89922369,,
1078,,,,,,,,,,,,,-55.5824,,,,,-20.5696,,-33.62176429,,
1077,,,,,,,,,,,,,-54.5063,,,,,-21.9653,,-31.61236053,,
1076,,,,,,,,,,,,,-53.9988,,,,,-22.7425,,-32.28794286,,
1075,,,,,,,,,,,,,-53.8716,,,,,-21.6326,,-33.7403579,,
1074,,,,,,,,,,,,,-53.5604,,,,,-22.154,,-33.96034047,,
1073,,,,,,,,,,,,,-52.6486,,,,,-21.0078,,-33.19377895,,
1072,,,,,,,,,,,,,-51.7195,,,,,-22.4369,,-33.59982143,,
1071,,,,,,,,,,,,,-51.5646,,,,,-22.2657,,-34.13188421,,
1070,,,,,,,,,,,,,-51.841,,,,,-21.3122,,-34.01380476,,
1069,,,,,,,,,,,,,-51.9346,,,,,-22.5719,,-32.93719474,,
1068,,,,,,,,,,,,,-52.3122,,,,,-22.88,,-33.04126429,,
1067,,,,,,,,,,,,,-53.2584,,,,,-22.4345,,-32.64818684,,
1066,,,,,,,,,,,,,-54.9364,,,,,-22.2406,,-33.15307143,,
1065,,,,,,,,,,,,,-56.142,,,,,-22.2557,,-34.09923158,,
1064,,,,,,,,,,,,,-56.4498,,,,,-22.2168,,-32.05898572,,
1063,,,,,,,,,,,,,-57.0321,,,,,-22.9579,,-33.2647579,,
1062,,,,,,,,,,,,,-57.1479,,,,,-21.6372,,-33.8549119,,
1061,,,,,,,,,,,,,-57.176,,,,,-21.86,,-31.26748684,,
1060,,,,,,,,,,,,,-57.2042,,,,,-21.4534,,-33.31661905,,
1059,,,,,,,,,,,,,-57.2324,,,,,-22.6721,,-33.55793158,,
1058,,,,,,,,,,,,,-57.2606,,,,,-21.8241,,-34.59086428,,
1057,,,,,,,,,,,,,-56.6804,,,,,-21.9052,,-34.77708684,,
1056,,,,,,,,,,,,,-55.7395,,,,,-20.8695,,-33.90062857,,
1055,,,,,,,,,,,,,-54.9702,,,,,-21.6671,,-33.78221053,,
1054,,,,,,,,,,,,,-54.6095,,,,,-21.4739,,-33.77022619,,
1053,,,,,,,,,,,,,-54.3346,,,,,-21.9049,,-32.80978158,,
1052,,,,,,,,,,,,,-54.2358,,,,,-21.159,,-32.58142381,,
1051,,,,,,,,,,,,,-54.8358,,,,,-21.8771,,-33.40204737,,
1050,,,,,,,,,,,,,-55.8059,,,,,-22.0157,,-33.22101428,,
1049,,,,,,,,,,,,,-56.6182,,,,,-22.3104,,-34.86719474,,
1048,,,,,,,,,,,,,-56.908,,,,,-21.9213,,-34.54367857,,
1047,,,,,,,,,,,,,-56.7375,,,,,-20.3614,,-34.30387106,,
1046,,,,,,,,,,,,,-56.8711,,,,,-20.7904,,-33.68423095,,
1045,,,,,,,,,,,,,-56.9588,,,,,-21.5817,,-33.42478948,,
1044,,,,,,,,,,,,,-56.2444,,,,,-21.2852,,-32.7152381,,
1043,,,,,,,,,,,,,-55.1523,,,,,-23.0045,,-33.86992632,,
1042,,,,,,,,,,,,,-53.5617,,,,,-23.3975,,-32.99810476,,
1041,,,,,,,,,,,,,-52.1603,,,,,-22.0624,,-32.18091842,,
1040,,,,,,,,,,,,,-51.7085,,,,,-21.5852,,-33.61821905,,
1039,,,,,,,,,,,,,-52.4319,,,,,-22.5965,,-33.86570527,,
1038,,,,,,,,,,,,,-53.721,,,,,-21.9562,,-32.61831429,,
1037,,,,,,,,,,,,,-54.6634,,,,,-22.1433,,-31.83747106,,
1036,,,,,,,,,,,,,-54.7927,,,,,-21.8701,,-31.82942381,,
1035,,,,,,,,,,,,,-54.676,,,,,-22.8654,,-32.25852632,,
1034,,,,,,,,,,,,,-54.7546,,,,,-21.2526,,-32.58244524,,
1033,,,,,,,,,,,,,-55.4433,,,,,-20.9393,,-33.05534474,,
1032,,,,,,,,,,,,,-56.182,,,,,-21.4126,,-32.78236429,,
1031,,,,,,,,,,,,,-56.1358,,,,,-22.222,,-33.31115,,
1030,,,,,,,,,,,,,-55.57,,,,,-21.7952,,-34.43420238,,
1029,,,,,,,,,,,,,-54.9608,,,,,-22.078,,-34.64945527,,
1028,,,,,,,,,,,,,-55.0254,,,,,-22.0826,,-33.88954524,,
1027,,,,,,,,,,,,,-55.2455,,,,,-20.902,,-33.56427632,,
1026,,,,,,,,,,,,,-55.8872,,,,,-22.0241,,-34.58568809,,
1025,,,,,,,,,,,,,-56.4535,,,,,-21.5059,,-33.22208158,,
1024,,,,,,,,,,,,,-56.3249,,,,,-21.6768,,-33.43341429,,
1023,,,,,,,,,,,,,-55.4022,,,,,-20.71,,-33.62571579,,
1022,,,,,,,,,,,,,-54.3678,,,,,-21.7361,,-33.52920715,,
1021,,,,,,,,,,,,,-53.8805,,,,,-23.2978,,-34.34954211,,
1020,,,,,,,,,,,,,-54.1083,,,,,-23.1366,,-33.57863572,,
1019,,,,,,,,,,,,,-54.221,,,,,-22.3893,,-32.01382106,,
1018,,,,,,,,,,,,,-53.5912,,,,,-21.1356,,-32.22540238,,
1017,,,,,,,,,,,,,-51.9163,,,,,-22.3985,,-33.81985,,
1016,,,,,,,,,,,,,-50.7098,,,,,-21.8467,,-33.53729762,,
1015,,,,,,,,,,,,,-50.534,,,,,-22.1393,,-33.0154,,
1014,,,,,,,,,,,,,-51.3766,,,,,-21.1816,,-32.36824048,,
1013,,,,,,,,,,,,,-52.9969,,,,,-21.2554,,-33.92044474,,
1012,,,,,,,,,,,,,-54.638,,,,,-20.7791,,-34.00640238,,
1011,,,,,,,,,,,,,-55.1322,,,,,-22.1845,,-34.06235263,,
1010,,,,,,,,,,,,,-55.0304,,,,,-22.6665,,-33.28652143,,
1009,,,,,,,,,,,,,-54.5875,,,,,-22.9591,,-32.88762106,,
1008,,,,,,,,,,,,,-54.5647,,,,,-22.6475,,-34.32557619,,
1007,,,,,,,,,,,,,-55.4415,,,,,-23.2837,,-34.25910263,,
1006,,,,,,,,,,,,,-56.0736,,,,,-22.6916,,-33.12494048,,
1005,,,,,,,,,,,,,-56.612,,,,,-21.3859,,-33.01518948,,
1004,,,,,,,,,,,,,-57.0813,,,,,-22.6651,,-34.00617143,,
1003,,,,,,,,,,,,,-57.3693,,,,,-22.386,,-33.14132106,,
1002,,,,,,,,,,,,,-57.3391,,,,,-22.3889,,-33.76762381,,
1001,,,,,,,,,,,,,-57.1252,,,,,-21.4757,,-33.96037106,,
1000,,,,,,,,,,,,,-56.5149,,,,,-21.3818,,-33.27832381,,
999,,,,,,,,,,,,,-55.1702,,,,,-22.0159,,-32.36664737,,
998,,,,,,,,,,,,,-53.9502,,,,,-20.3386,,-32.71368809,,
997,,,,,,,,,,,,,-53.2614,,,,,-22.4246,,-34.46771053,,
996,,,,,,,,,,,,,-53.2618,,,,,-21.4222,,-33.58633095,,
995,,,,,,,,,,,,,-53.7098,,,,,-21.7492,,-33.93198421,,
994,,,,,,,,,,,,,-54.0763,,,,,-21.2248,,-33.94278572,,
993,,,,,,,,,,,,,-54.2527,,,,,-21.7332,,-32.89941053,,
992,,,,,,,,,,,,,-54.2187,,,,,-22.8224,,-33.75976191,,
991,,,,,,,,,,,,,-54.4722,,,,,-21.2007,,-34.00642895,,
990,,,,,,,,,,,,,-54.4515,,,,,-21.8174,,-33.66738571,,
989,,,,,,,,,,,,,-55.0655,,,,,-21.7225,,-33.72577106,,
988,,,,,,,,,,,,,-55.817,,,,,-22.1236,,-32.43402381,,
987,,,,,,,,,,,,,-55.3272,,,,,-21.3814,,-32.5451,,
986,,,,,,,,,,,,,-54.4962,,,,,-21.6377,,-33.43261429,,
985,,,,,,,,,,,,,-53.8795,,,,,-22.3308,,-33.74086053,,
984,,,,,,,,,,,,,-53.8292,,,,,-20.5118,,-33.31335,,
983,,,,,,,,,,,,,-53.8019,,,,,-20.7796,,-33.80066053,,
982,,,,,,,,,,,,,-54.0022,,,,,-22.468,,-34.27429762,,
981,,,,,,,,,,,,,-54.3294,,,,,-23.2142,,-33.3941,,
980,,,,,,,,,,,,,-54.2464,,,,,-21.7032,,-32.83809762,,
979,,,,,,,,,,,,,-53.5553,,,,,-21.8055,,-32.95323421,,
978,,,,,,,,,,,,,-53.0588,,,,,-22.0484,,-33.87251191,,
977,,,,,,,,,,,,,-52.8069,,,,,-22.8982,,-33.84943684,,
976,,,,,,,,,,,,,-52.3886,,,,,-23.0107,,-33.3451381,,
975,,,,,,,,,,,,,-51.2799,,,,,-22.1558,,-32.34586842,,
974,,,,,,,,,,,,,-50.4886,,,,,-22.1264,,-34.63946191,,
973,,,,,,,,,,,,,-50.7011,,,,,-22.5461,,-33.95252895,,
972,,,,,,,,,,,,,-51.3679,,,,,-21.4137,,-33.81979048,,
971,,,,,,,,,,,,,-51.9762,,,,,-21.8046,,-34.46752895,,
970,,,,,,,,,,,,,-52.4543,,,,,-21.7422,,-32.94795,,
969,,,,,,,,,,,,,-52.812,,,,,-22.4996,,-32.40931579,,
968,,,,,,,,,,,,,-53.2477,,,,,-22.1808,,-32.86303571,,
967,,,,,,,,,,,,,-53.8284,,,,,-21.7849,,-33.2484,,
966,,,,,,,,,,,,,-54.2069,,,,,-23.0297,,-32.27566667,,
965,,,,,,,,,,,,,-54.2774,,,,,-24.0266,,-32.5763579,,
964,,,,,,,,,,,,,-54.5334,,,,,-22.4885,,-32.7519,,
963,,,,,,,,,,,,,-54.7805,,,,,-21.2154,,-33.43779211,,
962,,,,,,,,,,,,,-54.4941,,,,,-22.1702,,-35.01344524,,
961,,,,,,,,,,,,,-53.3191,,,,,-21.9461,,-34.31141579,,
960,,,,,,,,,,,,,-51.7053,,,,,-22.319,,-33.37369286,,
959,,,,,,,,,,,,,-50.4255,,,,,-23.5926,,-32.50293948,,
958,,,,,,,,,,,,,-50.5908,,,,,-22.4782,,-33.83532857,,
957,,,,,,,,,,,,,-51.8969,,,,,-22.5543,,-35.3555579,,
956,,,,,,,,,,,,,-54.0503,,,,,-21.7316,,-35.2892381,,
955,,,,,,,,,,,,,-55.1102,,,,,-21.7967,,-33.32054211,,
954,,,,,,,,,,,,,-55.022,,,,,-21.0368,,-34.25769286,,
953,,,,,,,,,,,,,-54.3912,,,,,-21.854,,-33.03415,,
952,,,,,,,,,,,,,-54.2166,,,,,-22.5145,,-34.24902143,,
951,,,,,,,,,,,,,-54.2926,,,,,-23.3836,,-33.28672632,,
950,,,,,,,,,,,,,-54.259,,,,,-22.3512,,-32.20582381,,
949,,,,,,,,,,,,,-54.1013,,,,,-21.3211,,-31.50682895,,
948,,,,,,,,,,,,,-53.6239,,,,,-21.5914,,-33.02496429,,
947,,,,,,,,,,,,,-52.7637,,,,,-22.3457,,-32.68635263,,
946,,,,,,,,,,,,,-52.006,,,,,-22.3528,,-31.99364286,,
945,,,,,,,,,,,,,-51.8284,,,,,-22.0272,,-33.62816316,,
944,,,,,,,,,,,,,-52.2554,,,,,-22.7887,,-33.10690953,,
943,,,,,,,,,,,,,-52.7606,,,,,-23.4593,,-32.79484211,,
942,,,,,,,,,,,,,-52.5152,,,,,-21.6784,,-34.29349762,,
941,,,,,,,,,,,,,-51.9527,,,,,-22.4732,,-35.15847106,,
940,,,,,,,,,,,,,-51.0144,,,,,-22.7867,,-33.89013334,,
939,,,,,,,,,,,,,-49.943,,,,,-22.6206,,-33.73974211,,
938,,,,,,,,,,,,,-50.0941,,,,,-21.5453,,-33.52546905,,
937,,,,,,,,,,,,,-51.2163,,,,,-21.4779,,-32.69538421,,
936,,,,,,,,,,,,,-53.3056,,,,,-21.8455,,-32.84640238,,
935,,,,,,,,,,,,,-54.5058,,,,,-21.773,,-34.28058948,,
934,,,,,,,,,,,,,-54.2612,,,,,-20.7454,,-34.69791666,,
933,,,,,,,,,,,,,-53.2182,,,,,-21.794,,-33.31406579,,
932,,,,,,,,,,,,,-52.0171,,,,,-22.198,,-34.19305,,
931,,,,,,,,,,,,,-51.6741,,,,,-22.6369,,-33.42479474,,
930,,,,,,,,,,,,,-52.4,,,,,-20.8692,,-33.02412857,,
929,,,,,,,,,,,,,-53.5436,,,,,-21.3899,,-32.83863948,,
928,,,,,,,,,,,,,-53.8619,,,,,-21.6515,,-33.74565,,
927,,,,,,,,,,,,,-53.6099,,,,,-21.7014,,-32.49916316,,
926,,,,,,,,,,,,,-52.5657,,,,,-21.0158,,-32.78314286,,
925,,,,,,,,,,,,,-52.097,,,,,-21.5095,,-34.20215263,,
924,,,,,,,,,,,,,-52.2586,,,,,-23.0081,,-32.31314524,,
923,,,,,,,,,,,,,-52.9309,,,,,-22.6209,,-32.75557369,,
922,,,,,,,,,,,,,-54.0681,,,,,-20.8382,,-33.54532857,,
921,,,,,,,,,,,,,-55.3379,,,,,-20.7625,,-33.33185527,,
920,,,,,,,,,,,,,-55.6824,,,,,-21.6701,,-34.31780953,,
919,,,,,,,,,,,,,-54.4898,,,,,-21.9309,,-34.0801921,,
918,,,,,,,,,,,,,-51.4393,,,,,-22.1978,,-32.55416429,,
917,,,,,,,,,,,,,-50.6623,,,,,-21.7094,,-34.12174474,,
916,,,,,,,,,,,,,-50.027,,,,,-22.26,,-34.12789286,,
915,,,,,,,,,,,,,-50.2354,,,,,-23.8218,,-32.90341316,,
914,,,,,,,,,,,,,-50.5585,,,,,-22.4427,,-33.09067143,,
913,,,,,,,,,,,,,-50.5235,,,,,-22.0337,,-32.68278158,,
912,,,,,,,,,,,,,-50.4311,,,,,-21.9519,,-33.07620953,,
911,,,,,,,,,,,,,-50.5843,,,,,-21.8442,,-33.92323421,,
910,,,,,,,,,,,,,-51.1817,,,,,-22.1268,,-32.3627881,,
909,,,,,,,,,,,,,-51.3244,,,,,-22.1176,,-32.72198948,,
908,,,,,,,,,,,,,-50.9241,,,,,-23.6693,,-32.74227381,,
907,,,,,,,,,,,,,-50.6844,,,,,-21.2836,,-33.88058421,,
906,,,,,,,,,,,,,-51.388,,,,,-22.8387,,-33.58794524,,
905,,,,,,,,,,,,,-52.132,,,,,-22.269,,-32.86107106,,
904,,,,,,,,,,,,,-53.2566,,,,,-21.7214,,-33.45015238,,
903,,,,,,,,,,,,,-52.8235,,,,,-22.3519,,-33.73073948,,
902,,,,,,,,,,,,,-51.3564,,,,,-22.0239,,-34.51260953,,
901,,,,,,,,,,,,,-50.2512,,,,,-23.3081,,-34.37813158,,
900,,,,,,,,,,,,,-50.3642,,,,,-22.0048,,-33.90034762,,
899,,,,,,,,,,,,,-50.9086,,,,,-20.4671,,-33.98139737,,
898,,,,,,,,,,,,,-51.3613,,,,,-21.215,,-34.03732381,,
897,,,,,,,,,,,,,-52.2188,,,,,-21.3123,,-34.03515263,,
896,,,,,,,,,,,,,-52.4949,,,,,-21.247,,-34.40051667,,
895,,,,,,,,,,,,,-53.3247,,,,,-21.1734,,-33.93757106,,
894,,,,,,,,,,,,,-53.3827,,,,,-21.4913,,-33.29460238,,
893,,,,,,,,,,,,,-52.868,,,,,-21.5451,,-33.6194579,,
892,,,,,,,,,,,,,-52.2685,,,,,-22.8268,,-32.54246191,,
891,,,,,,,,,,,,,-52.3581,,,,,-19.7653,,-32.67539737,,
890,,,,,,,,,,,,,-53.0097,,,,,-24.0491,,-33.06803095,,
889,,,,,,,,,,,,,-53.9499,,,,,-20.5431,,-33.46429211,,
888,,,,,,,,,,,,,-54.321,,,,,-21.9504,,-33.05242143,,
887,,,,,,,,,,,,,-53.808,,,,,-22.2214,,-32.96555,,
886,,,,,,,,,,,,,-53.3163,,,,,-21.4824,,-33.32805,,
885,,,,,,,,,,,,,-53.4041,,,,,-21.955,,-34.41435527,,
884,,,,,,,,,,,,,-54.4596,,,,,-22.266,,-33.30631905,,
883,,,,,,,,,,,,,-55.2834,,,,,-22.1005,,-33.7909,,
882,,,,,,,,,,,,,-55.4937,,,,,-22.2673,,-33.63187381,,
881,,,,,,,,,,,,,-54.8497,,,,,-23.3742,,-33.47074211,,
880,,,,,,,,,,,,,-54.5233,,,,,-22.0871,,-33.71621429,,
879,,,,,,,,,,,,,-54.2865,,,,,-21.9736,,-32.73797369,,
878,,,,,,,,,,,,,-54.066,,,,,-22.1556,,-32.88183334,,
877,,,,,,,,,,,,,-53.938,,,,,-21.1087,,-33.48942106,,
876,,,,,,,,,,,,,-53.686,,,,,-21.6261,,-33.21985953,,
875,,,,,,,,,,,,,-53.3891,,,,,-21.6302,,-32.99369211,,
874,,,,,,,,,,,,,-53.2298,,,,,-21.086,,-32.66797381,,
873,,,,,,,,,,,,,-53.1314,,,,,-21.5956,,-32.80467632,,
872,,,,,,,,,,,,,-53.0502,,,,,-22.0655,,-34.11120953,,
871,,,,,,,,,,,,,-53.2646,,,,,-21.2756,,-33.19335263,,
870,,,,,,,,,,,,,-53.8703,,,,,-22.9183,,-33.56155953,,
869,,,,,,,,,,,,,-54.6398,,,,,-21.8962,,-32.51640527,,
868,,,,,,,,,,,,,-55.2336,,,,,-20.0803,,-34.47091905,,
867,,,,,,,,,,,,,-55.5752,,,,,-19.9265,,-34.15023421,,
866,,,,,,,,,,,,,-56.022,,,,,-21.3618,,-32.68847143,,
865,,,,,,,,,,,,,-56.1242,,,,,-20.4805,,-33.49588684,,
864,,,,,,,,,,,,,-56.236,,,,,-22.4239,,-33.43861667,,
863,,,,,,,,,,,,,-55.9438,,,,,-22.3882,,-34.16586316,,
862,,,,,,,,,,,,,-55.4958,,,,,-21.2965,,-33.95879286,,
861,,,,,,,,,,,,,-54.8303,,,,,-21.0465,,-34.16825263,,
860,,,,,,,,,,,,,-53.8441,,,,,-21.2074,,-32.8593881,,
859,,,,,,,,,,,,,-53.1214,,,,,-21.6415,,-32.48091579,,
858,,,,,,,,,,,,,-52.888,,,,,-21.7909,,-33.42049524,,
857,,,,,,,,,,,,,-52.806,,,,,-21.6533,,-33.91581053,,
856,,,,,,,,,,,,,-52.888,,,,,-22.3996,,-32.7519881,,
855,,,,,,,,,,,,,-52.4811,,,,,-21.7111,,-33.20118421,,
854,,,,,,,,,,,,,-51.9924,,,,,-22.0964,,-33.26186905,,
853,,,,,,,,,,,,,-51.5254,,,,,-23.1669,,-33.2127,,
852,,,,,,,,,,,,,-51.4031,,,,,-21.3194,,-34.34490238,,
851,,,,,,,,,,,,,-51.7534,,,,,-21.4024,,-34.91499211,,
850,,,,,,,,,,,,,-52.4415,,,,,-21.4959,,-34.51819286,,
849,,,,,,,,,,,,,-53.4779,,,,,-21.8919,,-32.93771842,,
848,,,,,,,,,,,,,-54.4895,,,,,-22.3408,,-33.39802143,,
847,,,,,,,,,,,,,-54.9902,,,,,-22.1969,,-33.22038948,,
846,,,,,,,,,,,,,-54.9405,,,,,-21.9427,,-33.74651429,,
845,,,,,,,,,,,,,-55.0901,,,,,-21.2296,,-33.59994211,,
844,,,,,,,,,,,,,-55.3171,,,,,-21.0635,,-32.44438095,,
843,,,,,,,,,,,,,-55.3596,,,,,-21.8449,,-33.78069474,,
842,,,,,,,,,,,,,-55.228,,,,,-22.4291,,-35.05650953,,
841,,,,,,,,,,,,,-55.1117,,,,,-22.4258,,-35.09810263,,
840,,,,,,,,,,,,,-54.7852,,,,,-21.4741,,-34.30460238,,
839,,,,,,,,,,,,,-54.8243,,,,,-23.5318,,-34.42506316,,
838,,,,,,,,,,,,,-54.507,,,,,-21.7827,,-33.35160238,,
837,,,,,,,,,,,,,-54.1077,,,,,-18.8025,,-32.25978158,,
836,,,,,,,,,,,,,-53.4603,,,,,-22.6005,,-33.35860476,,
835,,,,,,,,,,,,,-53.6717,,,,,-22.1631,,-32.05,,
834,,,,,,,,,,,,,-53.8442,,,,,-21.3594,,-32.27002857,,
833,,,,,,,,,,,,,-53.7432,,,,,-20.756,,-32.65597369,,
832,,,,,,,,,,,,,-53.8262,,,,,-20.7253,,-32.63809524,,
831,,,,,,,,,,,,,-54.4593,,,,,-21.3398,,-33.49168684,,
830,,,,,,,,,,,,,-55.2056,,,,,-21.1892,,-32.99383095,,
829,,,,,,,,,,,,,-55.8572,,,,,-21.8552,,-33.62488158,,
828,,,,,,,,,,,,,-55.7836,,,,,-22.0608,,-33.35515476,,
827,,,,,,,,,,,,,-55.0402,,,,,-22.9554,,-32.68933948,,
826,,,,,,,,,,,,,-53.7313,,,,,-22.637,,-33.98718334,,
825,,,,,,,,,,,,,-52.9771,,,,,-20.0671,,-34.81100263,,
824,,,,,,,,,,,,,-52.6686,,,,,-21.4262,,-35.20286905,,
823,,,,,,,,,,,,,-52.5923,,,,,-22.7309,,-33.70251053,,
822,,,,,,,,,,,,,-52.7183,,,,,-22.1986,,-33.42389524,,
821,,,,,,,,,,,,,-53.3732,,,,,-22.6743,,-33.39578421,,
820,,,,,,,,,,,,,-54.4875,,,,,-22.1389,,-32.765,,
819,,,,,,,,,,,,,-55.645,,,,,-21.3922,,-33.20723158,,
818,,,,,,,,,,,,,-56.0516,,,,,-22.3072,,-34.574,,
817,,,,,,,,,,,,,-56.0315,,,,,-22.3669,,-34.10246316,,
816,,,,,,,,,,,,,-55.4284,,,,,-21.8988,,-34.24129286,,
815,,,,,,,,,,,,,-55.2184,,,,,-22.8081,,-34.04783421,,
814,,,,,,,,,,,,,-55.4043,,,,,-21.2428,,-34.07038095,,
813,,,,,,,,,,,,,-56.0084,,,,,-23.4168,,-33.83353684,,
812,,,,,,,,,,,,,-56.7175,,,,,-22.2617,,-32.65058572,,
811,,,,,,,,,,,,,-57.1436,,,,,-20.7663,,-32.9091,,
810,,,,,,,,,,,,,-57.4554,,,,,-21.1905,,-32.82527381,,
809,,,,,,,,,,,,,-57.2387,,,,,-22.1817,,-32.08245,,
808,,,,,,,,,,,,,-56.0476,,,,,-20.9577,,-32.52024047,,
807,,,,,,,,,,,,,-54.6459,,,,,-21.8326,,-33.38177895,,
806,,,,,,,,,,,,,-53.382,,,,,-21.7118,,-32.53751905,,
805,,,,,,,,,,,,,-51.9965,,,,,-22.6356,,-32.6337579,,
804,,,,,,,,,,,,,-51.4481,,,,,-22.0001,,-33.53709524,,
803,,,,,,,,,,,,,-51.3698,,,,,-22.0478,,-33.42363158,,
802,,,,,,,,,,,,,-51.2351,,,,,-21.2259,,-33.16240953,,
801,,,,,,,,,,,,,-51.02,,,,,-21.9458,,-33.68386579,,
800,,,,,,,,,,,,,-51.3297,,,,,-22.1281,,-33.16332143,,
799,,,,,,,,,,,,,-52.1231,,,,,-21.3209,,-32.937,,
798,,,,,,,,,,,,,-53.3813,,,,,-22.3399,,-33.9540881,,
797,,,,,,,,,,,,,-54.6698,,,,,-21.3214,,-33.6540079,,
796,,,,,,,,,,,,,-55.4788,,,,,-21.4172,,-33.92439762,,
