year,"JRI (Aristarain et al., 2004)",Ferrigno,ITASE-01-3,WD05A 112.125W,ITASE-00-5
1727,-141.5967,-220.1224,,-268.3278947,
1726,-143.5217,-203.2689,,-261.7428571,
1725,-153.995,-209.5652,,-281.0321053,
1724,-162.3217,-213.8051,,-264.6090476,
1723,-153.2144,-209.022,,-253.2715789,
1722,-140.9233,-190.9999,,-272.3466667,
1721,-147.795,-185.5399,,-266.9542105,
1720,-160.0767,-199.63,,-272.0680952,
1719,-163.1283,-196.5966,,-262.5815789,
1718,-142.3333,-199.8466,,-270.1485714,
1717,-147.3883,-220.4232,,-280.7221053,
1716,-150.3689,-212.1563,,-274.6257143,
1715,-143.5983,-195.2036,,-277.6605263,
1714,-138.3956,-211.3746,,-270.9833333,
1713,-156.17,-211.1016,,-266.6194737,
1712,-154.95,-202.076,,-275.8861905,
1711,-154.3144,-192.8633,,-284.7705263,
1710,-159.0867,-191.0667,,-275.9866667,
1709,-157.13,-192.6664,,-269.3510526,
1708,-138.3867,-202.444,,-266.0466667,
1707,-154.9383,-210.6982,,-260.6489474,
1706,-151.95,-205.887,,-270.9247619,
1705,-152.9383,-202.2828,,-275.8084211,
1704,-150.6856,-213.762,,-261.5652381,
1703,-149.66,-208.468,,-260.2610526,
1702,-138.6756,,,-274.2904762,
1701,-140.7183,,,-267.5510526,
1700,-143.2689,,,-280.2771429,
1699,-148.325,,,-286.2294737,
1698,-153.3644,,,-265.8466667,
1697,-145.2867,,,-248.4652632,
1696,-150.7517,,,-258.5242857,
1695,-149.75,,,-251.68,
1694,-156.8567,,,-264.5338095,
1693,-165.7544,,,-265.6352632,
1692,-158.09,,,-261.4757143,
1691,-158.1233,,,-262.3484211,
1690,-151.3367,,,-261.6452381,
1689,-147.9533,,,-263.3352632,
1688,-169.8422,,,-266.9019048,
1687,-162.1817,,,-262.5863158,
1686,-154.2,,,-271.1985714,
1685,-155.3011,,,-262.2584211,
1684,-148.2567,,,-269.9785714,
1683,-161.7967,,,-283.8278947,
1682,-151.5956,,,-288.3571429,
1681,-155.1808,,,-280.8442105,
1680,-170.3133,,,-277.7214286,
1679,-140.1989,,,-273.9805263,
1678,-153.1367,,,-267.6866667,
1677,-145.7517,,,-261.3452632,
1676,-148.36,,,-269.0442857,
1675,-145.3425,,,-267.57,
1674,-140.72,,,-273.172381,
1673,-156.365,,,-269.3878947,
1672,-150.7983,,,-269.372381,
1671,-132.5125,,,-267.7131579,
1670,-135.025,,,-262.5314286,
1669,-151.9833,,,-269.7331579,
1668,-154.63,,,-277.9457143,
1667,-143.425,,,-273.5726316,
1666,-147.8375,,,-271.2638095,
1665,-148.855,,,-273.6626316,
1664,-154.375,,,-263.5109524,
1663,-146.5975,,,-248.6026316,
1662,-144.4525,,,-271.0695238,
1661,-148.14,,,-266.6694737,
1660,-148.1025,,,-259.23,
1659,-146.2275,,,-252.7010526,
1658,-154.4625,,,-251.5066667,
1657,-140.3,,,-255.4342105,
1656,-156.0725,,,-268.5295238,
1655,-151.99,,,-263.3052632,
1654,-158.4125,,,-263.8814286,
1653,-165.27,,,-269.9089474,
1652,-150.7217,,,-270.6633333,
1651,-136.965,,,-262.1189474,
1650,-175.8925,,,-264.1038095,
1649,-155.3675,,,-272.4310526,
1648,-151.0625,,,-270.7614286,
1647,-146.1533,,,-279.07,
1646,-140.685,,,-271.1247619,
1645,-160.935,,,-268.9068421,
1644,-147.835,,,-267.3728571,
1643,-160.105,,,-284.0205263,
1642,-167.57,,,-277.8409524,
1641,-151.32,,,-273.6842105,
1640,-168.145,,,-260.7161905,
1639,-146.565,,,-258.0031579,
1638,-153.125,,,-281.0904762,
1637,-151.625,,,-258.7115789,
1636,-140.32,,,-269.6347619,
1635,-158.3367,,,-254.9889474,
1634,-144.355,,,-262.0971429,
1633,-163.12,,,-266.2573684,
1632,-142.125,,,-264.2185714,
1631,-139.7,,,-273.0373684,
1630,-140.025,,,-270.8504762,
1629,-132.985,,,-260.3157895,
1628,-157.085,,,-264.2438095,
1627,-153.0733,,,-264.0163158,
1626,-156.965,,,-269.6352381,
1625,-152.54,,,-273.9747368,
1624,-154.39,,,-270.3685714,
1623,-142.05,,,-261.2210526,
1622,-146.7,,,-280.5690476,
1621,-123.435,,,-271.4710526,
1620,-147.64,,,-271.592381,
1619,-151.41,,,-273.65,
1618,-144.16,,,-280.04,
1617,-140.3867,,,-264.6678947,
1616,-138.21,,,-264.6090476,
1615,-158.265,,,-280.2726316,
1614,-142.59,,,-265.9566667,
1613,-157.355,,,-267.2147368,
1612,-141.92,,,-259.3090476,
1611,-151.445,,,-268.1536842,
1610,-151.945,,,-270.0971429,
1609,-155.745,,,-264.4452632,
1608,-155.375,,,-263.3661905,
1607,-145.315,,,-283.2257895,
1606,-161.265,,,-264.2914286,
1605,-147.635,,,-242.2115789,
1604,-149.845,,,-264.457619,
1603,-140.155,,,-278.3889474,
1602,-152.855,,,-284.9871429,
1601,-138.895,,,-259.0542105,
1600,-140.98,,,-270.2180952,
1599,-141.09,,,-273.0894737,
1598,-138.3375,,,-265.6419048,
1597,-148.48,,,-260.86,
1596,-152.5,,,-278.39,
1595,-152.1,,,-265.0589474,
1594,-138.8375,,,-263.7371429,
1593,-133.355,,,-266.0694737,
1592,-124.91,,,-260.4280952,
1591,-143.225,,,-259.6694737,
1590,-156.8875,,,-268.0328571,
1589,-160.91,,,-250.5536842,
1588,-147.505,,,-265.6828571,
1587,-147.32,,,-272.0068421,
1586,-159.71,,,-273.2761905,
1585,-170.075,,,-269.7178947,
1584,-156.495,,,-264.7785714,
1583,-144.925,,,-268.8042105,
1582,-162.905,,,-257.5133333,
1581,-174.69,,,-252.1115789,
1580,-148.955,,,-272.722381,
1579,-156.35,,,-266.6489474,
1578,-170.19,,,-269.4419048,
1577,-164.83,,,-268.3826316,
1576,-144.84,,,-262.8147619,
1575,-155.27,,,-265.5610526,
1574,-150.42,,,-272.2009524,
1573,-136.315,,,-275.2152632,
1572,-137.61,,,-264.0533333,
1571,-155.04,,,-279.6294737,
1570,-143.855,,,-274.0128571,
1569,-162.18,,,-263.1984211,
1568,-156.05,,,-271.3366667,
1567,-145.39,,,-264.8794737,
1566,-131.32,,,-256.137619,
1565,-137.34,,,-269.7773684,
1564,-139.05,,,-262.47,
1563,-152.735,,,-259.5889474,
1562,-140.645,,,-274.1019048,
1561,-148.94,,,-258.02,
1560,-157.995,,,-262.8157143,
1559,-167.85,,,-271.9326316,
1558,-173.005,,,-270.9695238,
1557,-156.51,,,-265.1847368,
